5.42	0.000216621	2.132669344
5.35	0.000186392	2.150325923
5.27	0.000152802	2.173201368
5.18	0.000124389	2.196345624
5.05	9.46032E-05	2.226332326
4.88	6.0889E-05	2.27279151
4.79	4.30648E-05	2.307851704
4.69	3.05497E-05	2.341436247
4.62	2.25563E-05	2.370196715
4.55	1.59593E-05	2.402020237
4.47	1.15817E-05	2.430633814
4.36	8.54527E-06	2.457032858
4.25	6.41631E-06	2.481289103
4.15	5.02114E-06	2.501587949
4.05	3.97539E-06	2.520546202
3.94	3.19431E-06	2.537984464
3.84	2.59416E-06	2.554296475
3.74	2.06718E-06	2.571797141
3.64	1.63827E-06	2.589406959
3.56	1.32064E-06	2.605455893
3.44	1.12642E-06	2.617137835
3.34	9.78199E-07	2.627386134
3.24	8.49358E-07	2.637540863
3.13	7.73347E-07	2.644225255
3.04	7.19016E-07	2.649388272
2.94	6.6052E-07	2.655369119
2.85	6.00651E-07	2.662023886
2.76	5.56763E-07	2.667306409
1.77	5.68479E-07	2.665859278
0.8	7.00872E-07	2.651193449
-0.17	1.11265E-06	2.618035184
-1.1	1.20949E-06	2.611929087
-2.04	5.96405E-07	2.662518949
-3.01	3.32418E-07	2.702492968
-3.93	3.77401E-07	2.693948319
-4.86	6.2951E-07	2.658742619
-5.8	1.3992E-06	2.60117835
-6.73	3.57209E-06	2.529111735
-7.67	1.16137E-05	2.430390804
-8.61	4.33346E-05	2.307230277
-9.53	0.000152	2.173799957
